pair_key,source_video,emotion,label_source,annotator,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000216.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,neutral,auto_model,,0,,,,,0,0,0,1,0,0,1,,,,,,,,,1
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000288.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,angry,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000114.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,neutral,auto_model,,1,,,,,0,1,0,1,0,0,1,,,,,,,,,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000150.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,neutral,auto_model,,0,,,,,0,0,0,1,0,0,1,,,,,,,,,1
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000018.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,angry,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000180.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,pain,auto_model,,1,,,,,0,1,1,1,1,1,1,,,,,,,,,1
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000054.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000029.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,surprise,human_verified,masha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000232.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,surprise,human_verified,masha,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
DOGS/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement/mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement_t0_000084.jpg,mixkit-48727__small-dog-barking-and-wagging-its-tail-in-excitement,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000287.jpg,dog_37689691,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000259.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000028.jpg,dog_37689691,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000300.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000063.jpg,dog_37689691,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000000.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000120.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000210.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000196.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000224.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_37689691/dog_37689691_t0_000105.jpg,dog_37689691,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000475.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t0_000143.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,1,1,0,1,,,,,,,,,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000275.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,human_verified,masha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000260.jpg,mixkit-47444__dog-behind-bar-gate-howling,fearful,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t0_000125.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,human_verified,masha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t2_000611.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,1,,,,,0,1,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000442.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000390.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000468.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t1_000351.jpg,mixkit-47444__dog-behind-bar-gate-howling,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-47444__dog-behind-bar-gate-howling/mixkit-47444__dog-behind-bar-gate-howling_t0_000000.jpg,mixkit-47444__dog-behind-bar-gate-howling,relaxed,human_verified,masha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000406.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000000.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000434.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000450.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000350.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000600.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000602.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000336.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,neutral,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000378.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000266.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,sad,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath/mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath_t0_000294.jpg,mixkit-33103__cute-wet-dog-in-the-bathtub-after-a-bath,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/pixabay_251873/pixabay_251873_t0_000119.jpg,pixabay_251873,neutral,auto_model,,1,,,,,1,0,1,1,0,1,1,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000161.jpg,pixabay_251873,neutral,auto_model,,1,,,,,0,0,0,1,0,1,1,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000140.jpg,pixabay_251873,neutral,auto_model,,1,,,,,0,0,0,0,0,1,1,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000259.jpg,pixabay_251873,neutral,auto_model,,0,,,,,0,0,0,0,0,1,1,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000196.jpg,pixabay_251873,neutral,auto_model,,1,,,,,0,0,1,0,0,0,1,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000023.jpg,pixabay_251873,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/pixabay_251873/pixabay_251873_t0_000217.jpg,pixabay_251873,neutral,auto_model,,1,,,,,0,0,0,1,0,0,0,,,,,,,,,1
DOGS/pixabay_251873/pixabay_251873_t0_000280.jpg,pixabay_251873,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/pixabay_251873/pixabay_251873_t0_000000.jpg,pixabay_251873,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/pixabay_251873/pixabay_251873_t0_000315.jpg,pixabay_251873,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/pixabay_251873/pixabay_251873_t0_000021.jpg,pixabay_251873,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000451.jpg,1lmeeWDvv4o_000294,neutral,auto_model,,0,,,,,0,0,1,0,0,0,0,,,,,,,,,1
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000396.jpg,1lmeeWDvv4o_000294,neutral,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000374.jpg,1lmeeWDvv4o_000294,neutral,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000198.jpg,1lmeeWDvv4o_000294,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000055.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000077.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000154.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000176.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000099.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000121.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000294/1lmeeWDvv4o_000294_t0_000220.jpg,1lmeeWDvv4o_000294,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000119.jpg,dog_30181314,neutral,auto_model,,1,,,,,1,0,1,1,0,1,1,,,,,,,,,1
DOGS/dog_30181314/dog_30181314_t0_000140.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,1,1,,,,,,,,,1
DOGS/dog_30181314/dog_30181314_t0_000259.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,1,1,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000161.jpg,dog_30181314,neutral,auto_model,,1,,,,,0,0,0,1,0,1,1,,,,,,,,,1
DOGS/dog_30181314/dog_30181314_t0_000196.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/dog_30181314/dog_30181314_t0_000023.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000315.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000280.jpg,dog_30181314,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000000.jpg,dog_30181314,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_30181314/dog_30181314_t0_000028.jpg,dog_30181314,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000205.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,surprise,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000110.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000100.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000200.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000080.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000180.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000135.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000000.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000055.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-33156__cute-little-dog-on-top-of-a-log/mixkit-33156__cute-little-dog-on-top-of-a-log_t0_000030.jpg,mixkit-33156__cute-little-dog-on-top-of-a-log,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001480.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,angry,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001443.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,angry,auto_model,,0,,,,,0,1,0,0,1,0,1,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001406.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,angry,auto_model,,0,,,,,0,1,0,0,1,0,1,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001369.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,angry,auto_model,,0,,,,,0,1,0,0,1,0,1,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001554.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_001591.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t0_000185.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,neutral,auto_model,,0,,,,,0,0,0,0,1,0,1,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t0_000222.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,neutral,auto_model,,0,,,,,0,0,0,0,1,0,1,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t1_000333.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/youtube_dog facial expression closeup_qVmedpjNU1o/youtube_dog facial expression closeup_qVmedpjNU1o_t2_000888.jpg,youtube_dog facial expression closeup_qVmedpjNU1o,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000874.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000627.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000722.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000684.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t0_000095.jpg,9fC0Rtyptco_000005,neutral,auto_model,,1,,,,,0,1,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t0_000057.jpg,9fC0Rtyptco_000005,neutral,auto_model,,1,,,,,0,1,0,0,0,1,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000760.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000361.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000399.jpg,9fC0Rtyptco_000005,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/9fC0Rtyptco_000005/9fC0Rtyptco_000005_t2_000323.jpg,9fC0Rtyptco_000005,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000028.jpg,magnific-2839895,neutral,auto_model,,1,,,,,0,0,0,0,1,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000154.jpg,magnific-2839895,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000560.jpg,magnific-2839895,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000210.jpg,magnific-2839895,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000056.jpg,magnific-2839895,neutral,auto_model,,0,,,,,0,0,0,0,1,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000252.jpg,magnific-2839895,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000532.jpg,magnific-2839895,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000644.jpg,magnific-2839895,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000084.jpg,magnific-2839895,neutral,auto_model,,0,,,,,0,0,0,0,1,0,0,,,,,,,,,0
stock/magnific-2839895/magnific-2839895_t0_000126.jpg,magnific-2839895,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000087.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000091.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000119.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000232.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000147.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000000.jpg,dog_854383,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000203.jpg,dog_854383,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000280.jpg,dog_854383,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_854383/dog_854383_t0_000238.jpg,dog_854383,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/dogfacecloseup_7536185274246761733/dogfacecloseup_7536185274246761733_t0_000817.jpg,dogfacecloseup_7536185274246761733,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
neutral/dogfacecloseup_7536185274246761733/dogfacecloseup_7536185274246761733_t0_000760.jpg,dogfacecloseup_7536185274246761733,neutral,auto_model,,0,,,,,0,0,0,0,0,0,1,,,,,,,,,0
neutral/dogfacecloseup_7536185274246761733/dogfacecloseup_7536185274246761733_t0_000114.jpg,dogfacecloseup_7536185274246761733,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
