pair_key,source_video,emotion,n_active,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
neutral/youtube_dog wagging tail happy_3DJOOH4K53I/youtube_dog wagging tail happy_3DJOOH4K53I_t0_000102.jpg,youtube_dog wagging tail happy_3DJOOH4K53I,neutral,4,0,0,0,0,0,1,0,,0,0,0,0,1,1,1,0,,0,0,,0
tiktok_playlist_nareski/MVb5vLMvESc_000269/MVb5vLMvESc_000269_t0_000049.jpg,MVb5vLMvESc_000269,neutral,10,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,,0,0,,1
tiktok_playlist_nareski/MVb5vLMvESc_000269/MVb5vLMvESc_000269_t0_000014.jpg,MVb5vLMvESc_000269,relaxed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
tiktok_playlist_nareski/p2jAMGE2fPA_000308/p2jAMGE2fPA_000308_t2_000286.jpg,p2jAMGE2fPA_000308,neutral,10,0,0,0,0,,,1,1,1,1,1,0,1,0,1,0,1,0,,1,1
tiktok_playlist_nareski/p2jAMGE2fPA_000308/p2jAMGE2fPA_000308_t2_000308.jpg,p2jAMGE2fPA_000308,neutral,5,0,0,0,0,,,,1,,,,0,1,0,1,0,1,0,0,0,1
DOGS/mixkit-101226__girl-cuddling-dog-on-couch/mixkit-101226__girl-cuddling-dog-on-couch_t0_000023.jpg,mixkit-101226__girl-cuddling-dog-on-couch,neutral,10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,,1,1
DOGS/dog_7684012/dog_7684012_t0_000400.jpg,dog_7684012,neutral,10,0,1,0,1,0,,1,1,1,1,1,0,0,0,1,0,1,0,0,,1
neutral/dogmood_7581131260542684430/dogmood_7581131260542684430_t0_000072.jpg,dogmood_7581131260542684430,fearful,10,1,0,0,1,1,1,0,0,1,0,1,1,,0,1,1,0,1,0,,0
DOGS/pixabay_65620/pixabay_65620_t0_000088.jpg,pixabay_65620,neutral,10,1,0,1,1,1,1,,1,,,,0,1,0,1,0,1,0,0,0,1
DOGS/pixabay_110227/pixabay_110227_t1_000220.jpg,pixabay_110227,neutral,10,1,1,1,1,1,1,0,1,0,0,0,0,,1,1,0,0,0,0,0,1
neutral/youtube_angry dog growling_IXZF1Gb0Qw8/youtube_angry dog growling_IXZF1Gb0Qw8_t0_000120.jpg,youtube_angry dog growling_IXZF1Gb0Qw8,neutral,10,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
tiktok_playlist_nareski/OEwpV3mQW5w_000174/OEwpV3mQW5w_000174_t0_000078.jpg,OEwpV3mQW5w_000174,neutral,10,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,,1
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000240.jpg,d1XIJB-GGl4_000257,neutral,9,1,0,0,0,,1,1,1,,1,,0,1,0,1,0,1,0,0,0,1
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t5_000468.jpg,d1XIJB-GGl4_000257,neutral,7,0,,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000180.jpg,d1XIJB-GGl4_000257,neutral,5,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000480.jpg,d1XIJB-GGl4_000257,sad,3,0,0,0,0,,0,,0,1,0,1,0,0,0,0,,0,0,0,1,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t5_000516.jpg,d1XIJB-GGl4_000257,neutral,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000360.jpg,d1XIJB-GGl4_000257,neutral,2,0,0,1,0,0,0,0,0,0,,1,0,0,,0,,0,0,0,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000324.jpg,d1XIJB-GGl4_000257,neutral,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,,,1
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000528.jpg,d1XIJB-GGl4_000257,neutral,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,,1
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000396.jpg,d1XIJB-GGl4_000257,neutral,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000444.jpg,d1XIJB-GGl4_000257,sad,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000420.jpg,d1XIJB-GGl4_000257,neutral,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t4_000468.jpg,d1XIJB-GGl4_000257,relaxed,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,1,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t4_000336.jpg,d1XIJB-GGl4_000257,neutral,1,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,,1,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000300.jpg,d1XIJB-GGl4_000257,neutral,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000552.jpg,d1XIJB-GGl4_000257,submission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000132.jpg,d1XIJB-GGl4_000257,sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000264.jpg,d1XIJB-GGl4_000257,neutral,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t2_000504.jpg,d1XIJB-GGl4_000257,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
tiktok_playlist_nareski/d1XIJB-GGl4_000257/d1XIJB-GGl4_000257_t4_000504.jpg,d1XIJB-GGl4_000257,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000290.jpg,dog_27134115,relaxed,9,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,,0
DOGS/dog_27134115/dog_27134115_t0_000140.jpg,dog_27134115,relaxed,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0
DOGS/dog_27134115/dog_27134115_t0_000320.jpg,dog_27134115,relaxed,7,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
DOGS/dog_27134115/dog_27134115_t0_000030.jpg,dog_27134115,relaxed,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000370.jpg,dog_27134115,relaxed,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000050.jpg,dog_27134115,relaxed,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
DOGS/dog_27134115/dog_27134115_t0_000096.jpg,dog_27134115,relaxed,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
DOGS/dog_27134115/dog_27134115_t0_000288.jpg,dog_27134115,relaxed,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000216.jpg,dog_27134115,relaxed,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
DOGS/dog_27134115/dog_27134115_t0_000390.jpg,dog_27134115,relaxed,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000240.jpg,dog_27134115,relaxed,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0
DOGS/dog_27134115/dog_27134115_t0_000408.jpg,dog_27134115,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000410.jpg,dog_27134115,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000460.jpg,dog_27134115,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_27134115/dog_27134115_t0_000024.jpg,dog_27134115,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000377.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,9,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000406.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,9,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000435.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,8,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t1_001044.jpg,youtube_happy dog smiling_9NpHkFpHs-k,angry,8,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000899.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,5,1,0,0,0,,0,1,0,1,1,1,0,0,0,,0,0,0,0,,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t3_001218.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,5,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t2_001189.jpg,youtube_happy dog smiling_9NpHkFpHs-k,fearful,3,1,0,0,0,1,0,,0,,,,0,0,0,0,0,0,0,0,1,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000754.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,3,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t2_001073.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t0_000725.jpg,youtube_happy dog smiling_9NpHkFpHs-k,neutral,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t2_001102.jpg,youtube_happy dog smiling_9NpHkFpHs-k,relaxed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t3_001305.jpg,youtube_happy dog smiling_9NpHkFpHs-k,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t3_001334.jpg,youtube_happy dog smiling_9NpHkFpHs-k,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t3_001276.jpg,youtube_happy dog smiling_9NpHkFpHs-k,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_9NpHkFpHs-k/youtube_happy dog smiling_9NpHkFpHs-k_t2_001131.jpg,youtube_happy dog smiling_9NpHkFpHs-k,sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000165.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,happy,9,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000110.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,6,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000033.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,1
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000000.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000077.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000198.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000231.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000473.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000264.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,neutral,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000506.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000429.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000297.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000385.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral/youtube_happy dog smiling_PsQ2xNKBgMQ/youtube_happy dog smiling_PsQ2xNKBgMQ_t0_000352.jpg,youtube_happy dog smiling_PsQ2xNKBgMQ,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t2_000060.jpg,cLDrSXhhPO8_002783,surprise,9,,0,0,0,1,1,,1,1,1,,0,,0,1,0,1,0,0,1,1
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t2_000132.jpg,cLDrSXhhPO8_002783,neutral,8,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,,1
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t2_000102.jpg,cLDrSXhhPO8_002783,neutral,7,1,0,0,1,,,1,,1,,1,0,1,0,,0,,0,0,1,
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t0_000132.jpg,cLDrSXhhPO8_002783,neutral,5,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t4_000054.jpg,cLDrSXhhPO8_002783,relaxed,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t0_000000.jpg,cLDrSXhhPO8_002783,neutral,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t0_000180.jpg,cLDrSXhhPO8_002783,relaxed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t0_000090.jpg,cLDrSXhhPO8_002783,neutral,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t2_000162.jpg,cLDrSXhhPO8_002783,relaxed,2,0,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t0_000042.jpg,cLDrSXhhPO8_002783,neutral,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t1_000054.jpg,cLDrSXhhPO8_002783,relaxed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t2_000006.jpg,cLDrSXhhPO8_002783,relaxed,1,0,,0,0,,0,0,0,0,0,0,0,1,,0,0,0,,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t1_000006.jpg,cLDrSXhhPO8_002783,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/cLDrSXhhPO8_002783/cLDrSXhhPO8_002783_t1_000168.jpg,cLDrSXhhPO8_002783,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000024.jpg,dog_11487567,neutral,9,0,0,0,1,1,1,,1,1,,1,0,0,0,1,0,1,0,0,0,1
DOGS/dog_11487567/dog_11487567_t0_000000.jpg,dog_11487567,neutral,9,0,0,0,1,1,1,0,1,1,,1,0,0,0,1,0,1,0,0,0,1
DOGS/dog_11487567/dog_11487567_t0_000048.jpg,dog_11487567,neutral,7,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000072.jpg,dog_11487567,neutral,7,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000120.jpg,dog_11487567,neutral,5,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000492.jpg,dog_11487567,relaxed,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
DOGS/dog_11487567/dog_11487567_t0_000480.jpg,dog_11487567,relaxed,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
DOGS/dog_11487567/dog_11487567_t0_000330.jpg,dog_11487567,relaxed,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
DOGS/dog_11487567/dog_11487567_t0_000096.jpg,dog_11487567,neutral,2,0,0,0,0,1,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000300.jpg,dog_11487567,relaxed,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DOGS/dog_11487567/dog_11487567_t0_000144.jpg,dog_11487567,neutral,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000168.jpg,dog_11487567,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
DOGS/dog_11487567/dog_11487567_t0_000060.jpg,dog_11487567,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_5496004/dog_5496004_t0_000081.jpg,dog_5496004,neutral,9,0,1,1,0,0,,1,1,1,1,1,0,1,0,,0,0,0,0,1,0
DOGS/dog_5496004/dog_5496004_t0_000045.jpg,dog_5496004,neutral,7,0,0,1,0,0,,1,1,1,1,1,0,0,0,1,0,0,0,0,,0
DOGS/dog_5496004/dog_5496004_t0_000198.jpg,dog_5496004,neutral,7,0,0,0,0,0,,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
DOGS/dog_5496004/dog_5496004_t0_000108.jpg,dog_5496004,neutral,6,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
DOGS/dog_5496004/dog_5496004_t0_000184.jpg,dog_5496004,neutral,6,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
DOGS/dog_5496004/dog_5496004_t0_000288.jpg,dog_5496004,neutral,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0,,0,0,0,0,0,0
DOGS/dog_5496004/dog_5496004_t0_000225.jpg,dog_5496004,neutral,2,0,0,0,0,0,0,,0,,1,1,0,0,0,,0,0,0,0,0,0
DOGS/dog_5496004/dog_5496004_t0_000253.jpg,dog_5496004,neutral,2,0,0,0,0,0,0,,0,1,,1,0,0,0,0,0,0,0,,0,0
DOGS/dog_5496004/dog_5496004_t0_000135.jpg,dog_5496004,relaxed,1,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
DOGS/dog_5496004/dog_5496004_t0_000414.jpg,dog_5496004,neutral,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,,0
DOGS/dog_5496004/dog_5496004_t0_000252.jpg,dog_5496004,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
DOGS/dog_5496004/dog_5496004_t0_000387.jpg,dog_5496004,sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_5496004/dog_5496004_t0_000322.jpg,dog_5496004,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000645.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,9,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000725.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,8,0,1,1,0,0,1,0,1,0,0,0,0,0,1,,0,1,1,,0,1
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000360.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,5,0,0,0,1,1,0,0,0,0,0,0,,0,1,0,1,0,0,1,,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000174.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,5,0,0,1,0,0,,1,,1,1,,0,0,0,0,0,0,0,0,0,1
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000330.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,4,0,0,0,1,1,0,0,0,0,0,0,,0,1,0,1,0,0,,,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000087.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,3,0,1,0,0,0,0,,0,1,,,0,0,0,0,0,0,0,,1,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000270.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,relaxed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000180.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000210.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,1,0,,0,0,0,0,,0,,,,0,0,0,0,0,0,0,1,0,0
DOGS/mixkit-6355__woman-and-her-dog-taking-a-selfie/mixkit-6355__woman-and-her-dog-taking-a-selfie_t0_000090.jpg,mixkit-6355__woman-and-her-dog-taking-a-selfie,neutral,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0
